;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
Zadarsko zalede;Špilja kod Vrane;;15.7.2024.;;;;15,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Špilja kod vrha Spile;Vriješ?e, Pola?e, o. Mljet;6.4.2015.;;9,4;;;;74,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja kod Zagruda u vinogradu;Zagrude, Oskorušno;20.4.2019.;;10,1;;;10,9;86;termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Špilja Kusa nad Manastirskim lukama;Manastirske luke, Manastir Krupa, Obrovac, Zrmanja;5.5.2010.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja Lysvulpen;To?ilo od Bute, Duba Pelješka;27.3.2019.;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja Lysvulpen;To?ilo od Bute, Duba Pelješka, Trpanj;27.4.2019.;;11,4;;;12,4;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja Marije Feren?ine;Miloševica, Trpanj;20.4.2019.;;12,2;;;12,1;94;termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;ŠPILJA MEDVJE?I BRLOG;5041691, 6473206;20.4.2006.;;6,5;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK KORNATI 2009. (word 2003.) End;ŠPILJA NA BOROVIKU;OTOK BOROVIK, NP KORNATI;30.9.2009.;;20,7;19;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Špilja na Bugarima;Ropa, o. Mljet;7.4.2015.;;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016_04_Dnevnik terena Špilja na Gradini_3.-4.12.2016.;Špilja na Gradini;Gornji Kamenjak, Premantura, Istra;3.12.2016.;;;;;;;;13,1;;;13,3;;Ulaz špilje;13,8;;13,6;14,0 ;98;Kraj špilje;13,0;;;13,5;99,7;Sredina špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016_04_Dnevnik terena Špilja na Gradini, 30.4.-1.5.2016.;Špilja na Gradini;Gornji Kamenjak, Premantura, Istra;30.4.2016.;;;;;;;;14,9;;;15,2;95,2;Ulaz špilje;13,4;;14,6;13,2;93,5;Kraj špilje;;;;12,8;97,6;Sredina špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016_07_16_Dnevnik terena Špilja na Gradini_16.-17.7.2016;Špilja na Gradini;Gornji Kamenjak, Premantura, Istra;16.4.2016.;;;;;;;;;;;;;;13,7;;;14,2;98,9;Kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016_10_Dnevnik terena Špilja na Gradini_1.-2.10.2016;Špilja na Gradini;Gornji Kamenjak, Premantura, Istra;1.10.2016.;;;;;;;;;;;;;;13,7;;;14,5;94,6;Kraj špilje;14,3;;;15,1;97,1;Sredina špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016_12_18_Dnevnik terena Špilja na Gradini_18.-19.12.2016;Špilja na Gradini;Gornji Kamenjak, Premantura, Istra;19.12.2016.;;;;;;;;12,3;;;12,8;100;Ulaz (1. dio);12,8;;13,3;14,3;90,5 ;Kraj (3. dio);12,4;;;13,9;96;Sredina (2. dio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021_07_10_Dnevnik terena - Špilja na Gradini kod Premanture 10.-11.7.2021;Špilja na Gradini kod Premanture;Gornji Kamenjak, Premantura, Istra;11.7.2021.;;;;;;;;;;;;;;;;;;;;14,3;;;14,4;95,4;1. dio – ploha 1A:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021_07_10_Dnevnik terena - Špilja na Gradini kod Premanture 10.-11.7.2021;Špilja na Gradini kod Premanture;Gornji Kamenjak, Premantura, Istra;11.7.2021.;;;;;;;;;;;;;;;;;;;;13,6;;;14,1;94,1;2. dio – ploha 2B:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021_07_10_Dnevnik terena - Špilja na Gradini kod Premanture 10.-11.7.2021;Špilja na Gradini kod Premanture;Gornji Kamenjak, Premantura, Istra;11.7.2021.;;;;;;;;;;;;;;;;;;;;13,9;;;14,1;92,2;3. dio – ploha 3A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021_07_10_Dnevnik terena - Špilja na Gradini kod Premanture 10.-11.7.2021;Špilja na Gradini kod Premanture;Gornji Kamenjak, Premantura, Istra;11.7.2021.;;;;;;;;;;;;;;;;;;;;13,7;;;13,9;93,2;3. dio – kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA NA MRŽDOLCU;Mrždolac, Sridnja gora, Dedi?i, Zagvozd;21.11.2005.;;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK LASTOVO 2007_cor karko;Špilja na pozalicu;Pržina, Lastovo;29.9.2007.;;17,0;;;18,5;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;Špilja na pozalicu;Pržina, Lastovo;3.3.2008.;;;;;;;;;;;;;;12,2;;;;;na kraju špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;Špilja na pozalicu;Pržina, Lastovo;4.3.2008.;;;;;;;;;;;;;;13,1;13,2;;;;Na kraju špilje ;13,7;12,4;;;;Pod ulazom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;ŠPILJA NA ROŽANCU(radno ime);Rožanac, Kozarica, o. Mljet;21.10.2015.;;15,6;15,4;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja na rtu Kurba vela;rt Kurba vela, o. Kurba vela, Kornati;4.4.2017.;;;;;;;;;;;;;;;;;14,5;;na kraju objekta oko 10:00 h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja na Smokvici;Litnji vrh, uvala Lojena, o. Vela Smokvica, NP Kornati;15.4.2018.;;14,6;13;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja na Tovarnjaku;o. Tovarnjak, NP Kornati;20.4.2018.;;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Špilja na vrh Kr?evina;"Orašac (33m; -21m)";25.8.2014.;;;;;;;;;;;;;;16,5;;;;90,5;Na dnu /18.05;19,0;;;;91,4;Na kraju špiljskog dijela/17.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja na vrh Toraca;Ljuba?ka špilja, Ivanina špilja;26.3.2008.;;;;;;;;;;;;;;;;;;;;12,6;;;13,6;87;Prva dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Špilja na vrh Toraca;"Orašac (66,5m; -17m)";25.8.2014.;;;;;;;;20,2;20,0;;;100;Ulaz, ispod ulaza;15,5;14,2;;;100;Na kraju špilje;16,3;14,3;14,3;;100;Srednja dvorana;16,7;14,9;;;100;Ulazna Dvorana, sredina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dinara-Cetina-Svilaja;Špilja na Vršinoj glavici;Vršina glavica, Stražbenica, Otok, Sinj;5.5.2021.;;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_29.11.-5.12.2009._Leptomeson&Anthroherpon;Špilja Nevakuša;Selo Gora?i?, Mala Žaba;2.12.2009.;;8, 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Špilja od Tankega rota;Podhumlje, otok Vis;5.7.2017.;;17;;;16,9;80;Termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;ŠPILJA PAPU?KOG PRA?OVJEKA;5041774, 6473023, 725;20.4.2006.;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Špilja pod Glogovcem;Babino Polje, o. Mljet;7.4.2015.;;13,8;;;;82,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Trogir_Brac_Hvar_dnevnik terena_11-15.3.2011;Špilja pod Kapelu;Smokovnik, Hvar, O. Hvar;15.3.2011.;;10,5;;;11,6;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Špilja pod Kapelu;Smokovnik, Hvar, Otok Hvar;2.5.2011.;;13,8;13,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024_09_Biokovo – Hvar Bioblitz dnavmik_30.9.-5.10.2024_;Špilja pod Kapelu;Pelegrin, Hvar;3.10.2024.;;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;ŠPILJA POD KAPELU;SMOKOVNIK, O. HVAR;3.4.2005.;;11,1;11;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK LASTOVO 2007_cor karko;Špilja pod Kaštel;Kaštel, Lastovo;27.9.2007.;;20,4;;;21,0;99,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;Špilja pod Kaštel;Kaštel, Lastovo;4.3.2008.;;;;;;;;;;;;;;15,3;13,8;;;;Na kraju špilje;17,2;13,5;;;;Pod ulazom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lastovo;Špilja pod Kaštel;Kaštel, Lastovo;1.4.2025.;;14,9;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Špilja pod Ma?kovom Dragom;Vrelo, Jasenak, G.kotar;3.10.2015.;;7,4;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK PAKLENICA 2008;ŠPILJA POD PEKOM;X= 4910456 Y= 5534375 Z= 731;28.9.2008.;;13;;;;76,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA POD SPILE 2;Jujnovi?i, Kozica;26.3.2003.;;;;;;;;;;;;;;10,9;;;;97,0;Na kraju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA POD SPILE 2;Jujnovi?i, Kozica;23.3.2004.;;;;;;;;;;;;;;10,9;;;;97,0;Na kraju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja pod vrhom;uvala Lojena, Ježinov stan, o. Levrnaka, Kornati;27.4.2017.;;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja pod vrhom;o. Levrnaka, NP Kornati;17.4.2018.;;14,5;14;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Špilja pod Zimzelom;Musulinski potok, G. kotar;3.10.2015.;;8;;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Spilja poviše Lemiša;To?ilo od Bute, Duba Pelješka, Trpanj;27.4.2019.;;13;;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Spilja Rupine;To?ilo od Bute, Duba Pelješka;24.4.2019.;;9,1;;9;9,5;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK PAKLENICA 2008;ŠPILJA S MO?ILA;X= 4909802 Y= 5539386 Z= 770;2.10.2008.;;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja Šišmara;Zamoš?e, Ku?ište, Orebi?;13.11.2018.;;;;;;;;;;;;;;;;;;;;17,2;;;17,2;94;termo-hogro najniža to?ka u dvoranišpilja je jako suha, mislimo da je krivo izmjereno;22;;;;;vani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Špilja Skorupuša;Plitki dolovi, Gornji ?abri?i, Obrovac, Velebit;29.9.2010.;;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Špilja Šuplja?a;Gornji ?abri?i, Obrovac, Velebit;4.5.2010.;;10,3;8,2;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Špilja Šuplja?a;Gornji ?abri?i, Obrovac, Velebit;28.9.2010.;;10,3;8,2;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;ŠPILJA ŠUPLJA?A;Gornji ?abri?i, Crnopac – KEC;1.8.2006.;;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mosor;ŠPILJA SV. FILIPA I JAKOBA KOD MARINE;Marina, Trogir;5.5.2005.;;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Špilja Sv. Filipa i Jakova kod Marine;Dolac, Marina, Trogir;14.6.2011.;;13,2;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;ŠPILJA TANKI ROT;Podhumlje, Vis;4.10.2005.;;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Špilja Tihinja;vrh Kulina, Rusan, Hodilje, Mali Ston, Pelješac;8.6.2014.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Špilja Trnova?e;Trnova?e, Golubi?, Obrovac, Velebit;29.9.2010.;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mosor;ŠPILJA TROJAMA;Gornji dolac, Dugopolje;6.5.2005.;;;;;;;;;;;;;;8;;8,2;8,4;81;na dnu;7,9;;7,8;;;dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Banovoj Ljut;(ispod ceste 3 metra) x= 4731,093 y= 6502, 346 z=355;8.7.2006.;;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Banovoj Ljuti;x= 4731,093 y= 6502, 346 z=355;8.6.2006.;;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Bastu;;6.4.2006;;8,2;7,4;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;13.7.2003.;;15,6;14,1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;25.3.2004.;; 7,4;7,4;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;27.7.2004.;;;;;;;;;;;;;;15,9;14,4;;;100;Na kraju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;8.9.2005.;;16,1;14,7;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;20.10.2005.;;12,6;12,1;;;100;;;;;;;;;;;;;;;13,2;;;;Nalaz Thaumastocephalusa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;6.4.2006.;;8,2;7,4;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;28.7.2006.;;15,9;14,6;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U BASTU;Bast;29.10.2006.;;15,0;14,1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Bastu;;;;;7,4;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Špilja u Bastu;;23.6.2007.;;15,7;13,7;;15;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Bilom polju 2;Orebi?;14.11.2018.;;;;;20,5;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Bilopolju 2;Orebi?;29.4.2019.;;15,4;15;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Debeloj Ljuti;(po Cviti samo Debela Ljut) x= 4730,389 y=6502,212 z=394;8.7.2006.;;11,7;;;;;;10,1;;;;;Ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja u Debeloj Ljuti;x= 4730,389 y=6502,212 z=394;8.6.2006.;;11,7;;;;;;10,1;;;;;Ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Špilja u ?uri?a gaju;?uri?–gaj, Muškovci, Obrovac, Velebit;2.5.2010.;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U GAJU;Brnasi, Zagvozd;18.10.2002.;;;;;;;;;;;;;;10,6;;;;99,0; kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Špilja u Gaju;"Osojnik (20m; -4m)";23.8.2014.;;;;;;;;;;;;;;;;;;;;13,8;14,2;;;;Unutarnja, na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Špilja u Gaju;Brnasi, Zagvozd, Biokovo;16.5.2016.;;8,3;;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Špilja u grli?u;Uvala Vela Stiniva, Zastražiš?e, Jelsa, o. Hvar;3.5.2011.;;17,3;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Tounj_04.2011_fin;Špilja u kamenolomu Tounj;Tounj, Ogulin;2.4.2011.;;;;;;;;;;;;;;;;;;;;7,5;;;;91,9;Ispod kolonije;9,8;;;; 93,2;Kanal iza pjegave dvorane;10,6;;;;91,1;Kanal prema Oltaru;10,2;;;;93,6;Kod Oltara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Tounj_04.2011_fin;Špilja u kamenolomu Tounj;Tounj, Ogulin;3.4.2011.;;9,6;;;;95,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Tounj_04.2011_fin;Špilja u kamenolomu Tounj;Tounj, Ogulin;10.4.2011.;;;;;7,7;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Potomju;Potomje;23.4.2019.;;10;9;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Privoru;Podkala?e, Donja Vru?ica;26.3.2019.;;;;;;;;;;;;;;12;;;12,9;72;"dno termo-hidro, int; ext ne mjeri temperaturu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Privoru;Donja Vru?ica, Trpanj;22.4.2019.;;12,4;12,2;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Biokovo_dnevnik terena_10.10.-17.10.2014;Špilja u Radinovcima;Dedi?i, Rastovac, Biokovo;16.10.2014.;;;;;;;;;;;;;;;;;;;;10;;;;86;na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
